DEP;sexe;categorie;pop_plus_de_15_ans
1;h;CS1;3030
1;h;CS2;13213
1;h;CS3;25802
1;h;CS4;37795
1;h;CS5;15745
1;h;CS6;61444
1;h;CS7;54838
1;h;CS8;23536
1;f;CS1;888
1;f;CS2;4882
1;f;CS3;13810
1;f;CS4;38554
1;f;CS5;63467
1;f;CS6;17242
1;f;CS7;63960
1;f;CS8;41625
2;h;CS1;3672
2;h;CS2;8359
2;h;CS3;11852
2;h;CS4;24612
2;h;CS5;16431
2;h;CS6;63623
2;h;CS7;54015
2;h;CS8;25795
2;f;CS1;1155
2;f;CS2;3562
2;f;CS3;7572
2;f;CS4;25770
2;f;CS5;57027
2;f;CS6;15005
2;f;CS7;66356
2;f;CS8;49833
3;h;CS1;4058
3;h;CS2;6846
3;h;CS3;7598
3;h;CS4;15066
3;h;CS5;9182
3;h;CS6;33827
3;h;CS7;45170
3;h;CS8;14828
3;f;CS1;1440
3;f;CS2;2914
3;f;CS3;4677
3;f;CS4;16419
3;f;CS5;37196
3;f;CS6;7382
3;f;CS7;56341
3;f;CS8;25813
4;h;CS1;1500
4;h;CS2;4747
4;h;CS3;4476
4;h;CS4;7970
4;h;CS5;4879
4;h;CS6;12950
4;h;CS7;20604
4;h;CS8;6919
4;f;CS1;601
4;f;CS2;2208
4;f;CS3;2933
4;f;CS4;9022
4;f;CS5;16543
4;f;CS6;2732
4;f;CS7;23041
4;f;CS8;12996
5;h;CS1;1481
5;h;CS2;4256
5;h;CS3;3377
5;h;CS4;8029
5;h;CS5;5291
5;h;CS6;10809
5;h;CS7;16346
5;h;CS8;5812
5;f;CS1;632
5;f;CS2;1744
5;f;CS3;2633
5;f;CS4;8442
5;f;CS5;15509
5;f;CS6;2015
5;f;CS7;18619
5;f;CS8;9316
6;h;CS1;1128
6;h;CS2;31200
6;h;CS3;48166
6;h;CS4;54533
6;h;CS5;44754
6;h;CS6;73287
6;h;CS7;117613
6;h;CS8;53089
6;f;CS1;649
6;f;CS2;12767
6;f;CS3;30645
6;f;CS4;64881
6;f;CS5;116491
6;f;CS6;13747
6;f;CS7;151492
6;f;CS8;95060
7;h;CS1;3005
7;h;CS2;8178
7;h;CS3;8452
7;h;CS4;16110
7;h;CS5;7725
7;h;CS6;29488
7;h;CS7;39828
7;h;CS8;13032
7;f;CS1;1068
7;f;CS2;3385
7;f;CS3;5207
7;f;CS4;17366
7;f;CS5;32317
7;f;CS6;7169
7;f;CS7;46688
7;f;CS8;22296
8;h;CS1;2401
8;h;CS2;4841
8;h;CS3;6037
8;h;CS4;12935
8;h;CS5;7385
8;h;CS6;34656
8;h;CS7;28953
8;h;CS8;13634
8;f;CS1;812
8;f;CS2;2164
8;f;CS3;3696
8;f;CS4;12955
8;f;CS5;29625
8;f;CS6;6796
8;f;CS7;34133
8;f;CS8;28138
9;h;CS1;1610
9;h;CS2;3756
9;h;CS3;3531
9;h;CS4;7153
9;h;CS5;5048
9;h;CS6;13278
9;h;CS7;20756
9;h;CS8;6623
9;f;CS1;710
9;f;CS2;1713
9;f;CS3;2169
9;f;CS4;8245
9;f;CS5;16032
9;f;CS6;2317
9;f;CS7;23101
9;f;CS8;11339
10;h;CS1;3284
10;h;CS2;5147
10;h;CS3;7873
10;h;CS4;14595
10;h;CS5;8701
10;h;CS6;31683
10;h;CS7;32934
10;h;CS8;15598
10;f;CS1;1224
10;f;CS2;2199
10;f;CS3;4913
10;f;CS4;15416
10;f;CS5;31325
10;f;CS6;9625
10;f;CS7;41102
10;f;CS8;23036
11;h;CS1;3879
11;h;CS2;9160
11;h;CS3;8693
11;h;CS4;15651
11;h;CS5;12200
11;h;CS6;29464
11;h;CS7;46337
11;h;CS8;16617
11;f;CS1;1463
11;f;CS2;4055
11;f;CS3;5604
11;f;CS4;18432
11;f;CS5;37057
11;f;CS6;5584
11;f;CS7;52384
11;f;CS8;31644
12;h;CS1;7194
12;h;CS2;7284
12;h;CS3;6183
12;h;CS4;12431
12;h;CS5;6503
12;h;CS6;24061
12;h;CS7;38287
12;h;CS8;10222
12;f;CS1;3128
12;f;CS2;3025
12;f;CS3;4038
12;f;CS4;14343
12;f;CS5;28283
12;f;CS6;5004
12;f;CS7;45119
12;f;CS8;16750
13;h;CS1;3214
13;h;CS2;39931
13;h;CS3;87179
13;h;CS4;108596
13;h;CS5;70108
13;h;CS6;141802
13;h;CS7;189901
13;h;CS8;122654
13;f;CS1;1330
13;f;CS2;15880
13;f;CS3;57807
13;f;CS4;122044
13;f;CS5;198343
13;f;CS6;27008
13;f;CS7;223654
13;f;CS8;213700
14;h;CS1;3756
14;h;CS2;13810
14;h;CS3;23192
14;h;CS4;35900
14;h;CS5;20506
14;h;CS6;64790
14;h;CS7;68736
14;h;CS8;34538
14;f;CS1;1687
14;f;CS2;5955
14;f;CS3;15104
14;f;CS4;39848
14;f;CS5;74625
14;f;CS6;15315
14;f;CS7;89617
14;f;CS8;52271
15;h;CS1;4996
15;h;CS2;3491
15;h;CS3;2818
15;h;CS4;5787
15;h;CS5;3876
15;h;CS6;13551
15;h;CS7;20707
15;h;CS8;5529
15;f;CS1;2052
15;f;CS2;1665
15;f;CS3;2051
15;f;CS4;6927
15;f;CS5;15653
15;f;CS6;2842
15;f;CS7;25190
15;f;CS8;8813
16;h;CS1;3989
16;h;CS2;7401
16;h;CS3;9212
16;h;CS4;15849
16;h;CS5;9794
16;h;CS6;36470
16;h;CS7;44635
16;h;CS8;13969
16;f;CS1;1478
16;f;CS2;3374
16;f;CS3;5788
16;f;CS4;17934
16;f;CS5;37082
16;f;CS6;9894
16;f;CS7;53359
16;f;CS8;24620
17;h;CS1;5986
17;h;CS2;15442
17;h;CS3;16132
17;h;CS4;28836
17;h;CS5;18558
17;h;CS6;53971
17;h;CS7;83773
17;h;CS8;26676
17;f;CS1;2104
17;f;CS2;7041
17;f;CS3;10980
17;f;CS4;32180
17;f;CS5;67974
17;f;CS6;12254
17;f;CS7;97638
17;f;CS8;45381
18;h;CS1;3055
18;h;CS2;5937
18;h;CS3;8555
18;h;CS4;15127
18;h;CS5;9289
18;h;CS6;30726
18;h;CS7;39403
18;h;CS8;13215
18;f;CS1;1031
18;f;CS2;2554
18;f;CS3;5026
18;f;CS4;15707
18;f;CS5;33722
18;f;CS6;7797
18;f;CS7;46896
18;f;CS8;22795
19;h;CS1;3104
19;h;CS2;5571
19;h;CS3;5957
19;h;CS4;11845
19;h;CS5;7166
19;h;CS6;22095
19;h;CS7;32762
19;h;CS8;10284
19;f;CS1;1371
19;f;CS2;2383
19;f;CS3;3895
19;f;CS4;12628
19;f;CS5;25610
19;f;CS6;5460
19;f;CS7;40932
19;f;CS8;15024
21;h;CS1;4084
21;h;CS2;10272
21;h;CS3;20698
21;h;CS4;30617
21;h;CS5;15156
21;h;CS6;49189
21;h;CS7;53006
21;h;CS8;25440
21;f;CS1;1264
