DEP;P11_POP_FR;P11_POP_ETR;P11_POP_IMM;P11_PMEN;P11_PHORMEN
01;556225;47606;64536;589630;14197
02;527609;13684;20762;530154;11151
03;333322;9405;14656;332626;10099
04;154091;6870;11306;157263;3697
05;133954;4652;7493;134261;4346
06;979423;101805;145165;1056768;24481
07;307394;9886;15014;308521;8757
08;271553;11561;16164;278063;5049
09;145430;6859;12084;148338;3948
10;289661;14338;21109;296201;7798
11;340584;19384;30557;351573;8391
12;268419;7392;12133;266858;8956
13;1858827;117055;199101;1924500;51388
14;671678;13584;20885;667766;17501
15;145744;1831;2830;142592;4986
16;339281;13431;17580;344029;8676
17;612735;12948;19858;610974;14708
18;302052;9642;15129;302510;9186
19;233794;8659;12617;233405;9045
21;504239;21689;32928;510702;15228
22;581491;12884;17068;579278;15099
23;118298;4264;5304;118264;4296
24;395296;19868;25379;402569;12605
25;502889;26213;40389;517502;11608
26;467386;20607;33785;478537;9457
27;570676;17437;25633;575915;12197
28;412400;18011;25960;421319;9094
29;884204;15665;22463;875364;24513
2A;134053;11798;14005;143548;2300
2B;152960;15681;16833;164387;4253
30;678992;39369;62323;704008;14352
31;1190327;69899;113852;1233738;26491
32;180558;8335;12601;183972;4921
33;1399785;63882;90712;1433341;30322
34;995703;66337;99475;1038700;23325
35;971994;24448;34512;968694;27741
36;224321;5851;8502;222991;7181
37;573600;20081;31125;578379;15296
38;1144498;70710;114067;1189882;25335
39;250509;10787;14833;255624;5669
40;376954;10972;17612;378322;9608
41;316843;14437;17955;322240;9041
42;708650;40403;57886;731074;17980
43;219978;4929;7141;218780;6127
44;1263610;32750;48060;1266298;30068
45;619818;39769;57166;645308;14281
46;166724;8030;11416;170223;4531
47;311961;18904;28607;321896;8971
48;74432;2725;3556;72789;4367
49;771839;18501;26895;768144;22197
50;491426;8105;10606;488105;11429
51;546089;20481;30669;551995;14578
52;178136;4238;6683;177261;5115
53;300265;6766;8890;299346;7681
54;695087;38034;56196;711657;21473
55;187508;6048;8657;187431;6125
56;712846;14241;19262;709611;17473
57;978189;66955;105790;1019954;25188
58;211388;6952;9790;211870;6471
59;2469562;109651;154796;2527692;51532
60;765357;40288;57757;785872;19767
61;283064;7828;10252;282121;8769
62;1442054;20753;32234;1441785;21022
63;607208;28258;41849;616543;18930
64;627749;28856;44052;639104;17503
65;221521;7705;13964;221321;7907
66;427085;25454;45272;443582;8944
67;1020416;78849;110346;1074695;24570
68;689757;63308;84529;736360;16699
69;1612516;131705;200070;1700072;44163
70;233055;6643;10511;234509;5183
71;532396;23602;34966;541596;14396
72;553244;12475;17873;551226;14494
73;398208;20738;30061;408940;10010
74;681910;65079;85916;733820;13176
75;1916691;333272;456124;2201256;48709
76;1214005;37281;56299;1225815;25465
77;1232543;105887;161132;1315367;23065
78;1287896;125731;176202;1384559;29073
79;361349;9593;12866;361121;9818
80;560560;10645;17866;559193;12022
81;364047;13633;23503;367572;10105
82;231095;13450;19912;238223;6319
83;965618;47120;75193;988029;24701
84;508981;37653;56229;535359;11269
85;633685;7975;12727;625435;16223
86;414371;14079;18992;416274;12175
87;355779;20283;24451;367684;8378
88;368227;10607;15526;369088;9740
89;328606;13855;21286;331748;10716
90;135343;8004;12561;139922;3427
91;1104734;120451;169675;1195124;30062
92;1400269;181340;264932;1553091;28536
93;1202603;327320;427863;1498791;31142
94;1160048;173664;256512;1309078;24626
95;1047695;132676;205455;1158885;21485
971;386779;17855;17522;401446;3192
972;385230;7060;9042;387066;5226
973;154566;82983;68963;234752;2796
974;821002;7565;16179;821128;7460
